index,runs,opponent,ground,date,match,Match_No,total
0,12,SriLanka,Dambulla,18-Aug-08,ODI,1,12
1,37,SriLanka,Dambulla,20-Aug-08,ODI,2,49
2,25,SriLanka,Colombo(RPS),24-Aug-08,ODI,3,74
3,54,SriLanka,Colombo(RPS),27-Aug-08,ODI,4,128
4,31,SriLanka,Colombo(RPS),29-Aug-08,ODI,5,159
5,2,SriLanka,Colombo(RPS),14-Sep-09,ODI,6,161
6,16,Pakistan,Centurion,26-Sep-09,ODI,7,177
8,79,WestIndies,Johannesburg,30-Sep-09,ODI,8,256
9,30,Australia,Vadodara,25-Oct-09,ODI,9,286
10,10,Australia,Mohali,02-Nov-09,ODI,10,296
11,27,SriLanka,Rajkot,15-Dec-09,ODI,11,323
12,54,SriLanka,Nagpur,18-Dec-09,ODI,12,377
13,107,SriLanka,Kolkata,24-Dec-09,ODI,13,484
15,9,SriLanka,Mirpur,05-Jan-10,ODI,14,493
16,91,Bangladesh,Mirpur,07-Jan-10,ODI,15,584
17,71,SriLanka,Mirpur,10-Jan-10,ODI,16,655
18,102,Bangladesh,Mirpur,11-Jan-10,ODI,17,757
19,2,SriLanka,Mirpur,13-Jan-10,ODI,18,759
20,31,SouthAfrica,Jaipur,21-Feb-10,ODI,19,790
22,57,SouthAfrica,Ahmedabad,27-Feb-10,ODI,20,847
23,0,Zimbabwe,Bulawayo,28-May-10,ODI,21,847
24,82,SriLanka,Bulawayo,30-May-10,ODI,22,929
25,18,Zimbabwe,Harare,03-Jun-10,ODI,23,947
26,68,SriLanka,Harare,05-Jun-10,ODI,24,1015
27,26,Zimbabwe,Harare,12-Jun-10,T20,25,1041
29,11,Bangladesh,Dambulla,16-Jun-10,ODI,26,1052
30,18,Pakistan,Dambulla,19-Jun-10,ODI,27,1070
31,10,SriLanka,Dambulla,22-Jun-10,ODI,28,1080
32,28,SriLanka,Dambulla,24-Jun-10,ODI,29,1108
33,0,SriLanka,Dambulla,16-Aug-10,ODI,30,1108
34,8,NewZealand,Dambulla,25-Aug-10,ODI,31,1116
35,37,SriLanka,Dambulla,28-Aug-10,ODI,32,1153
36,118,Australia,Visakhapatnam,20-Oct-10,ODI,33,1271
37,105,NewZealand,Guwahati,28-Nov-10,ODI,34,1376
38,64,NewZealand,Jaipur,01-Dec-10,ODI,35,1440
39,63,NewZealand,Vadodara,04-Dec-10,ODI,36,1503
40,0,NewZealand,Bengaluru,07-Dec-10,ODI,37,1503
41,2,NewZealand,Chennai,10-Dec-10,ODI,38,1505
42,28,SouthAfrica,Durban,09-Jan-11,T20,39,1533
43,54,SouthAfrica,Durban,12-Jan-11,ODI,40,1587
44,22,SouthAfrica,Johannesburg,15-Jan-11,ODI,41,1609
45,28,SouthAfrica,CapeTown,18-Jan-11,ODI,42,1637
46,87,SouthAfrica,Gqeberha,21-Jan-11,ODI,43,1724
47,2,SouthAfrica,Centurion,23-Jan-11,ODI,44,1726
48,100,Bangladesh,Mirpur,19-Feb-11,ODI,45,1826
49,8,England,Bengaluru,27-Feb-11,ODI,46,1834
50,34,Ireland,Bengaluru,06-Mar-11,ODI,47,1868
51,12,Netherlands,Delhi,09-Mar-11,ODI,48,1880
52,1,SouthAfrica,Nagpur,12-Mar-11,ODI,49,1881
53,59,WestIndies,Chennai,20-Mar-11,ODI,50,1940
54,24,Australia,Ahmedabad,24-Mar-11,ODI,51,1964
55,9,Pakistan,Mohali,30-Mar-11,ODI,52,1973
56,35,SriLanka,Wankhede,02-Apr-11,ODI,53,2008
57,14,WestIndies,PortofSpain,04-Jun-11,T20,54,2022
58,2,WestIndies,PortofSpain,06-Jun-11,ODI,55,2024
59,81,WestIndies,PortofSpain,08-Jun-11,ODI,56,2105
60,0,WestIndies,NorthSound,11-Jun-11,ODI,57,2105
61,22,WestIndies,NorthSound,13-Jun-11,ODI,58,2127
62,94,WestIndies,Kingston,16-Jun-11,ODI,59,2221
63,4,WestIndies,Kingston,20-Jun-11,Test,60,2225
64,15,WestIndies,Kingston,20-Jun-11,Test,61,2240
65,0,WestIndies,Bridgetown,28-Jun-11,Test,62,2240
66,27,WestIndies,Bridgetown,28-Jun-11,Test,63,2267
67,30,WestIndies,Roseau,06-Jul-11,Test,64,2297
69,4,England,Manchester,31-Aug-11,T20,65,2301
70,55,England,Chester-le-Street,03-Sep-11,ODI,66,2356
71,9,England,Southampton,06-Sep-11,ODI,67,2365
72,7,England,TheOval,09-Sep-11,ODI,68,2372
73,16,England,Lord's,11-Sep-11,ODI,69,2388
74,107,England,Cardiff,16-Sep-11,ODI,70,2495
75,37,England,Hyderabad(Deccan),14-Oct-11,ODI,71,2532
76,112,England,Delhi,17-Oct-11,ODI,72,2644
77,35,England,Mohali,20-Oct-11,ODI,73,2679
78,86,England,Wankhede,23-Oct-11,ODI,74,2765
79,0,England,Kolkata,25-Oct-11,ODI,75,2765
80,15,England,Kolkata,29-Oct-11,T20,76,2780
81,52,WestIndies,Wankhede,22-Nov-11,Test,77,2832
82,63,WestIndies,Wankhede,22-Nov-11,Test,78,2895
83,3,WestIndies,Cuttack,29-Nov-11,ODI,79,2898
